houses,msg_per_s,cloud_complete_latency_ms,cloud_capacity_max,gw_capacity_max,gw_exec_latency_ms,gw_flush_latency_ms,gw_cpu_busiest_avg_pct,gw_ram_busiest_avg_mb,tuples_processed,wan_kb_per_min,oom_killed
1,10,NA,0,0.0004,0.0324,93.83252499999999,11.8,182,2527,15.0,0
5,50,4.5,0,0.001,0.0725,100.27201250000002,16.4,191,14659,40.2,0
10,100,14520,0.912,0.0019,0.068,540.2128500000001,11.4,194,38480,88.9,0
20,200,34974.143,0.046,0.0036,0.0666,307.6256375,13.1,229,85884,159.4,0
40,400,84498.75,0,0.0013,0.0436,614.431475,10.6,239,173249,332.8,0
