houses,msg_per_s,cloud_complete_latency_ms,cloud_capacity_max,gw_capacity_max,gw_exec_latency_ms,gw_flush_latency_ms,gw_cpu_busiest_avg_pct,gw_ram_busiest_avg_mb,tuples_processed,wan_kb_per_min,oom_killed
1,10,11006.4,0.223,0.0003,0.0228,328.6992,11.4,169,2503,8.2,0
5,50,15470.028,0.299,0.0011,0.0339,333.7838,10.1,176,13056,25.6,0
10,100,25231.589,0.488,0.0017,0.0257,358.2059,10.5,185,33729,51.8,0
20,200,43090.333,0.71,0.0026,0.0231,372.9502,11.6,216,74407,107.0,0
40,400,77006.292,0.765,0.0061,0.0122,412.3777,10.6,237,144588,213.7,0
